Treatment,Line,Log10,Compiled,,,R1,R2,R3,L1,L2,L3,R,,
R,R1,7.970000005,R,,,7.970000005,7.810000007,7.830000006,8.01,7.73,7.32,7.970000005,,
R,R1,8.120000003,R,,,8.120000003,7.860000006,8.060000004,7.57,7.27,7.22,8.120000003,,
R,R1,7.920000005,R,,,7.920000005,7.690000009,7.700000009,7.69,8.21,7.47,7.920000005,,
R,R1,7.880000006,R,,,7.880000006,7.790000007,7.710000008,7.23,7.4,8.15,7.880000006,,
R,R2,7.810000007,R,,,,8.430000002,7.990000004,0,7.23,7.96,7.810000007,,
R,R2,7.860000006,R,,,,7.970000005,8.210000003,7.86,7.09,5.61,7.860000006,,
R,R2,7.690000009,R,,,,8.170000003,7.990000004,3.58,8.21,7.27,7.690000009,,
R,R2,7.790000007,R,,,,7.910000005,8.310000002,6.52,7.89,7.4,7.790000007,,
R,R2,8.430000002,R,,,,8.130000003,,5.54,6.14,3.42,8.430000002,,
R,R2,7.970000005,R,,,,,,7.27,5.65,7.16,7.970000005,,
R,R2,8.170000003,R,,,,,,0.3,7.34,7.88,8.170000003,,
R,R2,7.910000005,R,,,,,,0,7.68,7.81,7.910000005,,
R,R2,8.130000003,R,,,,,,4.29,7.8,8.49,8.130000003,,
R,R3,7.830000006,R,,,,,,7.35,7.96,7.57,7.830000006,,
R,R3,8.060000004,R,,,,,,6.38,7.05,8.28,8.060000004,,
R,R3,7.700000009,R,,,,,,8.27,7.31,7.35,7.700000009,,
R,R3,7.710000008,R,,,,,,7.33,7.83,7.72,7.710000008,,
R,R3,7.990000004,R,,,,,,8.21,6.91,6.33,7.990000004,,
R,R3,8.210000003,R,,,,,,6.99,6.78,7.81,8.210000003,,
R,R3,7.990000004,R,,,,,,7.73,7.88,7.4,7.990000004,,
R,R3,8.310000002,R,,,,,,0,6.78,3.66,8.310000002,,
L,L1,8.01,L1,,,,,,7.1,6.87,7.6,,,
L,L1,7.57,L1,,,,,,7.69,7.11,7.86,,,
L,L1,7.69,L1,,,,,,0,7.59,7.53,,,
L,L1,7.23,L1,,,,,,4.69,8.08,8.31,,,
L,L1,0,L1,,,,,,6.45,8.12,,,,
L,L1,7.86,L1,,,,,,7.64,8.03,,,,
L,L1,3.58,L1,,,,,,0,,,,,
L,L1,6.52,L1,,,,,,6.8,,,,,
L,L1,5.54,L1,,,,,,8.17,,,,,
L,L1,7.27,L1,,,,,,7.08,,,,,
L,L1,0.3,L1,,,,,,7.58,,,,,
L,L1,0,L1,,,,,,6.94,,,,,
L,L1,4.29,L1,,,,,,4.47,,,,,
L,L1,7.35,L1,,,,,,7.91,,,,,
L,L1,6.38,L1,,,,,,0,,,,,
L,L1,8.27,L1,,,,,,8.91,,,,,
L,L1,7.33,L1,,,,,,8.42,,,,,
L,L1,8.21,L1,,,,,,6.77,,,,,
L,L1,6.99,L1,,,,,,7.59,,,,,
L,L1,7.73,L1,,,,,,8.08,,,,,
L,L1,0,L1,,,,,,7.08,,,,,
L,L1,7.1,L1,,,,,,7.63,,,,,
L,L1,7.69,L1,,,,,,8.22,,,,,
L,L1,0,L1,,,,,,7.66,,,,,
L,L1,4.69,L1,,,,,,8.43,,,,,
L,L1,6.45,L1,,,,,,8.96,,,,,
L,L1,7.64,L1,,,,,,0,,,,,
