Strain,DPI,DENV status,Name,Target/Ref
WT+D5,5,Pos,"WT,D5,CC,+,4",3.51E-02
WT-D5,5,Neg,"WT,D5,CC,-,6",9.28E-02
wMel+D5,5,Pos,"wMel,D5,CC+,1",0.1794
wMel+D5,5,Pos,"wMel,D5,CC+,4",7.99E-02
wMel-D5,5,Neg,"wMel,D5,CC,-,1",4.23E-02
wMel-D5,5,Neg,"wMel,D5,CC,-,2",7.61E-03
wMel-D5,5,Neg,"wMel,D5,CC,-,3",9.14E-03
wMel-D5,5,Neg,"wMel,D5,CC,-,4",3.29E-02
wMel-D5,5,Neg,"wMel,D5,CC,-,5",9.14E-03
wMel-D5,5,Neg,"wMel,D5,CC,-,6",1.39E-02
WT+D10,10,Pos,"WT,D10,CC,+,5",5.66E-02
WT-D10,10,Neg,"WT,D10,CC,-,1",6.60E-02
WT-D10,10,Neg,"WT,D10,CC,-,2",1.25E-02
WT-D10,10,Neg,"WT,D10,CC,-,3",5.60E-02
WT-D10,10,Neg,"WT,D10,CC,-,6",7.97E-02
wMel+D10,10,Pos,"wMel,D10,CC,+,1",0.2057
wMel+D10,10,Pos,"wMel,D10,CC,+,2",5.84E-02
wMel+D10,10,Pos,"wMel,D10,CC,+,3",0.3072
wMel+D10,10,Pos,"wMel,D10,CC,+,4",0.3345
wMel+D10,10,Pos,"wMel,D10,CC,+,5",0.3112
wMel+D10,10,Pos,"wMel,D10,CC,+,6",0.2672
wMel-D10,10,Neg,"wMel,D10,CC,-,1",0.1381
wMel-D10,10,Neg,"wMel,D10,CC,-,2",0.102
wMel-D10,10,Neg,"wMel,D10,CC,-,3",8.75E-02
wMel-D10,10,Neg,"wMel,D10,CC,-,4",0.1026
wMel-D10,10,Neg,"wMel,D10,CC,-,5",7.73E-02
wMel-D10,10,Neg,"wMel,D10,CC,-,6",4.53E-02
